metric,class
accountPayables,liability
accountsReceivables,asset
accruedExpenses,liability
accumulatedOtherComprehensiveIncomeLoss,equity
additionalPaidInCapital,equity
capitalLeaseObligations,liability
capitalLeaseObligationsCurrent,liability
capitalLeaseObligationsNonCurrent,liability
cashAndCashEquivalents,asset
cashAndShortTermInvestments,asset
commonStock,equity
deferredRevenue,liability
deferredRevenueNonCurrent,liability
deferredTaxLiabilitiesNonCurrent,liability
goodwill,asset
goodwillAndIntangibleAssets,asset
intangibleAssets,asset
inventory,asset
longTermDebt,liability
longTermInvestments,asset
minorityInterest,equity
netDebt,derived
netReceivables,asset
otherAssets,asset
otherCurrentAssets,asset
otherCurrentLiabilities,liability
otherLiabilities,liability
otherNonCurrentAssets,asset
otherNonCurrentLiabilities,liability
otherPayables,liability
otherReceivables,asset
otherTotalStockholdersEquity,equity
preferredStock,equity
prepaids,asset
propertyPlantEquipmentNet,asset
retainedEarnings,equity
shortTermDebt,liability
shortTermInvestments,asset
taxAssets,asset
taxPayables,liability
totalAssets,asset
totalCurrentAssets,asset
totalCurrentLiabilities,liability
totalDebt,liability
totalEquity,equity
totalInvestments,asset
totalLiabilities,liability
totalLiabilitiesAndTotalEquity,derived
totalNonCurrentAssets,asset
totalNonCurrentLiabilities,liability
totalPayables,liability
totalStockholdersEquity,equity
treasuryStock,equity
